Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20140109,48.82428741,49.13999939,47.8571434,48.15000153,17007200,3,3,8,6,3,4,3
20140110,48.29571533,48.37714386,47.21857071,47.44857025,16237900,0,6,0,4,4,4,4
20140113,47.30428696,49.81000137,47.30428696,48.11571503,27237000,0,0,8,6,3,8,3
20140114,48.77714157,48.79999924,47.50999832,48.27999878,19740000,0,13,8,4,16,4,9
20140115,47.8571434,48.36714172,45.58142853,47.19714355,40432000,0,3,0,6,0,3,0
20140116,46.91571426,47.69571304,46.00285721,47.38285828,21135800,6,6,6,6,4,8,8
20140117,47.43857193,47.83142853,46.8914299,47.14857101,16417100,8,4,8,4,5,8,5
20140121,47.4614296,47.49571228,45.75,46.95857239,25220300,0,8,0,5,3,4,4
20140122,47.07143021,47.77714157,46.76428604,47.67571259,48342000,0,0,9,0,3,3,3
20140123,55.34285736,56.51856995,53.9271431,55.53142929,91280000,0,24,0,8,8,8,0
20140124,54.81142807,55.81428528,54.76856995,55.15428543,35466900,9,0,3,3,3,0,0
20140127,55.34143066,55.92856979,52.93714142,54.4614296,32526900,3,3,3,3,0,12,0
20140128,54.47428513,58.20142746,54.39428711,58.11000061,43590400,8,8,8,4,12,4,12
20140129,57.58856964,58.19142914,56.86428452,57.20285797,28968100,5,5,3,4,3,6,0
20140130,58.15714264,58.45571518,57.3585701,57.81000137,18379200,0,6,4,4,0,5,5
20140131,57.47285843,58.91428757,57.47142792,58.47571564,23625000,7,12,7,0,8,8,8
20140203,58.84285736,58.87857056,57.24571228,57.76856995,20145300,7,7,0,4,4,6,0
20140204,57.92142868,58.36142731,56.7157135,57.98714447,18066300,0,6,4,4,0,7,7
20140205,57.59285736,58.25,56.8571434,57.77428436,16762900,8,8,8,0,7,12,7
20140206,58.06000137,58.70142746,57.20285797,58.27285767,12852000,8,8,0,6,6,6,6
20140207,59.06285858,61.5,58.65142822,61.42571259,32921000,0,0,12,0,6,6,0
20140210,61.34714127,61.76714325,60.61142731,61.49142838,13812400,0,12,0,6,6,0,0
20140211,61.42285538,62.25143051,60.78714371,61.99856949,13667500,6,6,6,6,0,8,8
20140212,62.11142731,62.12857056,60.79142761,61.27571487,15673000,6,6,6,0,6,12,0
20140213,60.81285858,62.7842865,60.7142868,62.36428452,18700500,4,4,6,4,6,4,4
20140214,62.43714142,62.52857208,61.66999817,62.2157135,11985400,0,6,3,0,3,6,0
20140218,62.42285538,63.0342865,61.1428566,62.40714264,15507800,4,4,6,4,6,4,4
20140219,61.66714478,62.32143021,61.13857269,61.17571259,16031400,0,6,3,0,3,6,0
20140220,61.47857285,62.5385704,61.30857086,62.13571548,11965100,4,4,6,4,6,4,4
20140221,62.67142868,62.67142868,61.37857056,61.74714279,13483400,0,6,3,0,3,6,0
20140224,62.20999908,64.24143219,61.2142868,63.8571434,26043500,10,10,4,9,12,9,4
20140225,64.2857132,65.3985672,63.57143021,64.71857452,18700500,12,4,10,8,10,4,6
20140226,65.12857056,65.14286041,63.7142868,64.112854,15010100,3,7,0,7,3,6,0
20140227,63.97714233,64.87571716,63.97714233,64.60428619,10304700,0,6,3,4,3,5,5
20140228,64.73285675,64.88571167,63,63.66143036,15751400,6,3,6,3,4,8,0
20140303,63.02714157,63.67856979,62.58571243,63.65571213,13528200,0,4,4,3,3,3,3
20140304,64.41714478,65,63.65571213,64.99714661,12387900,0,12,7,0,8,8,3
20140305,64.85571289,65.26285553,64.55857086,64.7857132,10868900,8,8,0,6,6,4,0
20140306,64.99143219,65.42857361,64.14142609,64.35857391,11809000,0,3,2,2,0,7,0
20140307,64.86714172,64.93428802,63.64428711,64.05285645,11573800,4,4,4,6,12,3,3
20140310,64.0671463,64.11142731,61.72857285,62.84999847,15439200,2,2,6,4,2,4,0
20140311,63.23428726,63.81142807,62.23571396,62.49714279,10448200,0,4,4,3,3,3,3
20140312,61.95428467,62.7857132,61.38285828,62.36857224,12134500,0,12,6,0,6,6,6
20140313,62.81571579,62.89714432,61.18285751,61.43714142,11390400,7,7,0,4,4,6,0
20140314,61.10428619,62.1414299,60.42856979,60.6414299,14989100,0,6,4,4,0,7,7
20140317,61.16999817,61.54285812,60.33000183,60.38857269,10695300,12,12,12,0,12,12,12
20140318,60.33856964,60.89428711,59.5,60.0357132,14688100,10,10,0,6,8,6,8
20140319,59.98143005,60.77857208,59.58000183,60.01285553,10531500,0,0,0,9,0,9,0
